id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
44686689-ad69-4b7a-9e90-e9b7f38d4dd6,44,JAWBONE,MANUFACTURING,Jawbone was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
dfbba769-984c-4efa-83f9-948402e9e049,45,JUICERO,MANUFACTURING,Juicero was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
21ada0a3-9d9b-4cc6-a677-afb1d31903da,46,LIGHT,MANUFACTURING,Light was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
1514e1ea-4180-4560-9f05-3a7e64f2d861,47,LILY ROBOTICS,MANUFACTURING,Lily Robotics was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
110334f0-7d0e-4a7e-b94a-5fe3e826adb6,48,LYTRO,MANUFACTURING,Lytro was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
233a80f0-abc4-42e5-bc97-e25774729474,49,MAKERBOT,MANUFACTURING,MakerBot was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
9ed1bf64-e3a9-4532-a297-51aabb07c0e8,50,OSMO SYSTEMS,MANUFACTURING,Osmo Systems was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
d357e37e-585d-4ee5-a3f8-18ccc8f94bba,51,PEARL AUTOMATION,MANUFACTURING,Pearl Automation was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
d0f6a177-019e-477e-9afd-32302a5630cc,52,PEBBLE,MANUFACTURING,Pebble was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
6b2013be-e281-4be2-a05d-b5147e582765,53,QUANERGY,MANUFACTURING,Quanergy was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
a460b0ab-f122-42ef-a0c5-b0b758f5adf5,54,RETHINK ROBOTICS,MANUFACTURING,Rethink Robotics was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
e66df580-64fa-4e3e-8d5c-7f8281fff0ed,55,SKULLY HELMETS,MANUFACTURING,Skully Helmets was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
b489e879-0794-4809-a012-8d1b61aa980e,56,THALMIC LABS,MANUFACTURING,Thalmic Labs was a company operating in the Manufacturing sector,8.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
8a7f5c01-b211-4438-8589-e4d045e74ed3,57,ZUME,MANUFACTURING,Zume was a company operating in the Manufacturing sector,1.0,31,['e460bed0a94d73ea85ba3c89a6e60b63764068d3b4f782217ccb9e4ec7526bc109a2f8152b3a0a882c773c9e09cee47e124d21fdd722e4ccc695bf790345a8b1']
